Course Title,Rating,Review,What you will learn
Graphic Elements of Design: Color Theory and Image Formats,4.7,529,"Discriminate between CMYK, Pantone and RGB color options.Categorize the various kind of image files and understand their usages.Recognize the ideal (and less than ideal) combination of graphics and text in logo design."
Introduction to Who Wrote Shakespeare,4.7,242,
"History of Rock, Part One",4.8,1,Students will be able to summarize and describe the evolution of rock music starting in the early 1950's to the end of the 1960's.
Black Lives Matter,4.5,66,
Programación musical con software libre Specialization,4.8,10,
Write Like Mozart: An Introduction to Classical Music Composition,4.9,416,
How Music Can Change Your Life,4.7,164,
How to Change the World,4.6,256,
South Asian Religions & Ecology,4.9,14,
"Coexistence in Medieval Spain: Jews, Christians, and Muslims",4.5,122,
The Music of the Beatles,4.8,724,Students will be able to summarize and describe the evolution of the Beatles from their early days to Beatlemania and beyond.
Intellectual Humility: Science,4.7,178,
The Holocaust - An Introduction (II): The Final Solution,4.9,634,
哲学导论（中文版）,4.8,200,
ART of the MOOC: Activism and Social Movements,4.5,138,
A Brief History of Human Spaceflight,4.4,419,
Art of the MOOC:  Experiments with Sound,4.8,68,
Activism in Sports and Culture  ,4.9,14,
Accessibility to the Scenic Arts,4.7,30,
The Final Solution to the Jewish Question,4.8,10,"about the development of Nazi ideology as well as the early measures taken against the Jews and others who were considered ""undesirables"".about the key decisions and turning points leading to the ""Final Solution"".about the implementation of the ""Final Solution"" throughout Europe and the nature of local collaboration.about different approaches to the question of how was it humanly possible."
Patrick Henry: Forgotten Founder,4.9,171,
The Holocaust: The Destruction of European Jewry,4.6,178,"Describe the origins and development of antisemitism.Explain the role of emancipation, acculturation, and assimilation on European Jewry.Describe the political and social environment of 1930s Germany."
Antisemitism: From Its Origins to the Present,4.6,73,To  discuss what antisemitism is and what is unique about it  To explain the historical and ideological roots of antisemitism and how it has developed  To discuss the characteristics of antisemitism today  To identify antisemitic language and actions in the past and in the present  
When Disaster Meets Conflict,4.7,63,
Philosophy and the Sciences: Introduction to the Philosophy of Physical Sciences,4.7,900,
Calvin - Histoire et réception d'une Réforme,4.8,125,
Singing Popular Music,4.5,150,"Identify and practice using appropriate breathing technique while singing.Identify and practice using your head voice, mix voice, and chest voice while singing.Learn healthy ways to perform powerful singing/belting.Incorporate improvisation techniques in your singing style."
"Søren Kierkegaard - Subjectivity, Irony and the Crisis of Modernity",4.8,701,
Skepticism,4.7,71,
"Photography Techniques: Light, Content, and Sharing",4.8,1,
Gathering and Developing the News,4.7,489,
唐詩新思路 (Tang Poetry),4.9,562,
紅樓夢(The Red Chamber Dream),4.8,51,
Adobe Photoshop Para Principiantes: Efectos y técnicas,4.8,10,Aplica filtros inteligentes a una imagen.Incorpora efectos de color a una imagen.Aumenta la escala de una imagen para imprimirla en alta resolución.
"Textual Elements of Design: Fonts, Typography, and Spacing",4.7,242,"Appreciate the history and future of typography as an artform.Compare and contrast the similarities and nuances between the concepts of typography, fonts and text.Work with the various aspects of spacing type, includingleading, kerning and tracking."
Creating Sounds for Electronic Music,4.7,257,Create custom synthesizer patchesIncorporate your custom patches into your electronic musicImprove your music through editing.
"Musicianship: Chord Charts, Diatonic Chords, and Minor Keys",4.9,546,"Aurally identify minor intervals and 7th chordsExplain the relationship between a Major key and its related minorPractice playing and writing in the keys of F Major, D minor, G Major, D minor scalesWrite a chord chart"
Writing in First Person Point of View,4.7,109,
Words Spun Out of Images: Visual and Literary Culture in Nineteenth Century Japan,4.8,710,Differences between traditional Japanese art formsA deeper understanding of Japanese perceptions of the selfInsights into how Japan as a nation state emerged to the forefront of “modernity” in the late nineteenth centuryA rich lode of non-western cultural materials relating to gender
Asian Environmental Humanities: Landscapes in Transition,4.7,178,
Electronic Music Performance Techniques,4.2,27,
"History of Rock, Part Two",4.8,453,Students will be able to summarize and describe how rock music progressed from the early 1970's through the early 1990's. 
"¿Cómo persuadir? Jugando con palabras, imágenes y números",4.4,3,
Teoria Musical,4.6,66,
Introducción a las humanidades digitales,4.7,44,
Improvisación de jazz ,4.9,254,
Introducción a la Producción y Apreciación musical,4.8,10,
The Modern and the Postmodern (Part 1),4.8,964,
The Emergence of the Modern Middle East - Part II,4.8,499,
The Epistemic Quest for Truth: Introduction to epistemology,4.4,21,
Getting Your Film off the Ground ,4.6,47,
Magna Carta and its Legacies: Freedom and protest,4.5,55,
 Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,4.6,555,
"Gabriel García Márquez entre el poder, la historia y el amor",4.8,141,
